,url,title,authorname,avg_rating,num_rat,num_rev,total_pages,ori_year,places,series,awards,genre3
807,https://www.goodreads.com//book/show/56956053-the-high-auction,The High Auction (Wisdom Revolution #1),Misba,4.75,48,12,185,2021,,0,,"['Fantasy', 'Science Fiction', 'Science Fiction Fantasy']"
808,https://www.goodreads.com//book/show/6338487-the-fourth-queen,The Fourth Queen,Mark Miller,4.32,44,9,188,2008,,1,,"['Fantasy', 'Fiction', 'Fantasy']"
809,https://www.goodreads.com//book/show/11375883-the-steel-queen,The Steel Queen,Karen Azinger,3.90,354,67,437,2011,,1,,"['Fantasy', 'Fantasy', 'Epic Fantasy']"
810,https://www.goodreads.com//book/show/74275.Stalking_Darkness,Stalking Darkness,Lynn Flewelling,4.25,"13,714",635,501,2010,,1,,"['Fantasy', 'LGBT', 'Romance']"
811,https://www.goodreads.com//book/show/29877833-three-wells-of-the-sea,Three Wells of the Sea,Terry Madden,4.13,112,23,376,2016,,1,,"['Fantasy', 'Fantasy', 'Epic Fantasy']"
812,https://www.goodreads.com//book/show/42670760-kargaroth,Kargaroth: A Tale of the Great Onion Knighthood,Mark B. Frost,4.63,48,7,674,2019,,0,,['Fantasy']
813,https://www.goodreads.com//book/show/43808494-the-tales-of-the-magic-piano,The Tales of the Magic Piano,Damien Casey,4.80,5,3,601,2019,,0,,[]
814,https://www.goodreads.com//book/show/44062503-1--,سلسلة سلام (1) - رواية بعد السهوك,م.سارة أحمد,4.15,40,21,368,2019,,0,,[]
815,https://www.goodreads.com//book/show/55375798-space-taxis,Space Taxis,Adam Frosh,4.61,77,49,340,2020,,0,,"['Science Fiction', 'Humor', 'Science Fiction']"
816,https://www.goodreads.com//book/show/20253.House_Harkonnen,House Harkonnen,Brian Herbert,3.68,"15,461",291,733,2001,,1,,"['Science Fiction', 'Fiction', 'Fantasy']"
817,https://www.goodreads.com//book/show/15787712-the-estian-alliance,The Estian Alliance,M.J. Webb,4.41,46,29,248,2012,,1,,"['Fantasy', 'Young Adult']"
818,https://www.goodreads.com//book/show/38079.The_Language_of_Stones,The Language of Stones,Robert Carter,3.44,295,18,487,2012,,1,,"['Fantasy', 'Mythology', 'Arthurian']"
819,https://www.goodreads.com//book/show/12309573-eyes-of-the-keep,Eyes Of The Keep,Scott D. Muller,3.95,19,4,554,2011,,1,,"['Fantasy', 'Paranormal', 'Demons']"
820,https://www.goodreads.com//book/show/6316821-first-lord-s-fury,First Lord's Fury,Jim Butcher,4.39,"56,939","1,697",465,2009,Alera,1,,"['Fantasy', 'Fiction', 'Fantasy']"
821,https://www.goodreads.com//book/show/17306681-thread-slivers,Thread Slivers,Leeland Artra,4.00,649,64,358,2013,,1,,"['Fantasy', 'Science Fiction', 'Business']"
822,https://www.goodreads.com//book/show/7913779-dawnsinger,DawnSinger,Janalyn Voigt,4.07,153,63,342,2012,,1,,"['Fantasy', 'Christian', 'Young Adult']"
823,https://www.goodreads.com//book/show/19055068-churning-waters,Churning Waters,Meredith T. Taylor,4.48,65,13,643,2013,,1,,"['Fantasy', 'Romance', 'Fiction']"
824,https://www.goodreads.com//book/show/257321.Stronghold,Stronghold,Melanie Rawn,4.03,"11,644",81,592,1991,,1,,"['Fantasy', 'Fiction', 'Fantasy']"
825,https://www.goodreads.com//book/show/18325148-songs-in-the-year-of-the-cat,Songs in the Year of the Cat,H. Leighton Dickson,4.44,168,22,384,2013,,1,,"['Fantasy', 'Science Fiction']"
826,https://www.goodreads.com//book/show/35488914-city-of-vikings,City of Vikings,Farah Cook,4.25,252,68,278,2017,,1,,"['Fantasy', 'Young Adult', 'Fiction']"
827,https://www.goodreads.com//book/show/2550219.The_Singing,The Singing,Alison Croggon,4.22,"12,830",530,496,2008,,1,,"['Fantasy', 'Young Adult', 'Fiction']"
828,https://www.goodreads.com//book/show/1961496.To_Ride_Hell_s_Chasm,To Ride Hell’s Chasm,Janny Wurts,3.82,"1,431",162,704,2009,,0,,"['Fantasy', 'Fiction', 'Fantasy']"
829,https://www.goodreads.com//book/show/478951.The_Bonehunters,The Bonehunters,Steven Erikson,4.45,"32,181",955,1203,2007,,1,Prix Aurora Award Nominee for Best of the Decade (2017),"['Fantasy', 'Fantasy', 'Epic Fantasy']"
830,https://www.goodreads.com//book/show/56571234-the-cheat-code,"The Cheat Code (Wisdom Revolution, #3)",Misba,4.92,13,7,200,2021,,0,,[]
831,https://www.goodreads.com//book/show/201342.Mattimeo,Mattimeo,Brian Jacques,4.05,"32,262",516,432,1999,,1,West Australian Young Readers' Book Award (WAYRBA) for Older Readers (1992),"['Fantasy', 'Fiction', 'Young Adult']"
832,https://www.goodreads.com//book/show/34507.Equal_Rites,Equal Rites,Terry Pratchett,4.01,"153,958","4,479",228,2005,Bad Ass,1,Margaret A. Edwards Award (2011),"['Fantasy', 'Fiction', 'Humor']"
833,https://www.goodreads.com//book/show/65112.The_End,The End,Lemony Snicket,4.01,"92,066","4,549",324,2006,,1,,"['Fiction', 'Young Adult', 'Childrens']"
834,https://www.goodreads.com//book/show/7747374-i-am-number-four,I Am Number Four,Pittacus Lore,3.93,"322,456","15,955",440,2010,"Paradise, Ohio (United States)",1,"West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2012), Ulmer Unke (2011)","['Young Adult', 'Fantasy', 'Science Fiction']"
835,https://www.goodreads.com//book/show/6888748-dark-lady-s-chosen,Dark Lady's Chosen,Gail Z. Martin,4.13,"3,922",88,595,2010,,1,,"['Fantasy', 'Fantasy', 'Epic Fantasy']"
836,https://www.goodreads.com//book/show/56571010-the-oldest-dance,"The Oldest Dance (Wisdom Revolution, #2)",Misba,4.94,17,12,230,2021,,0,,['Science Fiction Fantasy']
837,https://www.goodreads.com//book/show/57491471-wil-o-wish,WIL O WISH,Juddy Anderson C. Punzalan,4.64,25,10,35,2021,,0,,[]
838,https://www.goodreads.com//book/show/18478915-everlasting,Everlasting,Candace Knoebel,3.71,"1,431",134,428,2014,,1,,"['Fantasy', 'Paranormal', 'Fantasy']"
839,https://www.goodreads.com//book/show/28176378-the-willow-branch,The Willow Branch,Lela Markham,4.23,13,6,544,2015,Kingdom of Celdrya,1,,['Fantasy']
840,https://www.goodreads.com//book/show/16083255-dark-pursuit,Dark Pursuit: The Lost Shinmahs,Kevan Dinn,3.89,79,20,328,2013,Pangaea,1,,['Fantasy']
841,https://www.goodreads.com//book/show/172734.DragonSpell,DragonSpell,Donita K. Paul,3.91,"12,088",597,339,2004,Amara,1,Christy Award Nominee for Visionary (2005),"['Fantasy', 'Fantasy', 'Dragons']"
842,https://www.goodreads.com//book/show/34529.Lords_and_Ladies,Lords and Ladies,Terry Pratchett,4.15,"72,343","1,615",400,2005,Discworld,1,,"['Fantasy', 'Fiction', 'Humor']"
843,https://www.goodreads.com//book/show/13980.Sanctuary,Sanctuary,Mercedes Lackey,4.01,"7,128",101,448,2006,,1,,"['Fantasy', 'Fantasy', 'Dragons']"
844,https://www.goodreads.com//book/show/189802.Belgarath_the_Sorcerer,Belgarath the Sorcerer,David Eddings,4.07,"75,582",446,736,1997,,1,,"['Fantasy', 'Fiction', 'Young Adult']"
845,https://www.goodreads.com//book/show/827612.The_Battle_of_Evernight,The Battle of Evernight,Cecilia Dart-Thornton,3.73,"2,407",94,588,2004,,1,,"['Fantasy', 'Fiction', 'Fantasy']"
846,https://www.goodreads.com//book/show/264068.The_Fathomless_Caves,The Fathomless Caves,Kate Forsyth,4.30,"2,924",48,389,2002,,1,,"['Fantasy', 'Fiction', 'Fantasy']"
847,https://www.goodreads.com//book/show/23524878-ruin,Ruin,John Gwynne,4.45,"9,976",925,768,2015,,1,"David Gemmell Legend Award Nominee for Best Fantasy Novel (2016), David Gemmell Ravenheart Award Nominee for Best Fantasy Cover Art (2016)","['Fantasy', 'Fantasy', 'Epic Fantasy']"
848,https://www.goodreads.com//book/show/33237983-the-crimson-queen,The Crimson Queen,Alec Hutson,4.16,"3,911",324,419,2016,,1,SPFBO Award Nominee for Best Fantasy Book (2017),"['Fantasy', 'Fantasy', 'Epic Fantasy']"
849,https://www.goodreads.com//book/show/29103028-the-queen-s-poisoner,The Queen's Poisoner,Jeff Wheeler,4.04,"31,852","2,019",336,2016,,1,,"['Fantasy', 'Young Adult', 'Fiction']"
850,https://www.goodreads.com//book/show/2161614.Evil_for_Evil,Evil for Evil,K.J. Parker,3.88,"2,305",127,684,2007,,1,,"['Fantasy', 'Fiction', 'Science Fiction']"
851,https://www.goodreads.com//book/show/13996.Alta,Alta,Mercedes Lackey,4.04,"7,794",148,440,2005,,1,,"['Fantasy', 'Fantasy', 'Dragons']"
852,https://www.goodreads.com//book/show/28668.Ships_of_Merior,Ships of Merior,Janny Wurts,3.89,"3,139",74,637,1995,,1,,"['Fantasy', 'Fantasy', 'Epic Fantasy']"
853,https://www.goodreads.com//book/show/57687.The_Gilded_Chain,The Gilded Chain,Dave Duncan,3.91,"3,208",131,418,1999,,1,,"['Fantasy', 'Fiction', 'Science Fiction Fantasy']"
854,https://www.goodreads.com//book/show/17236208-a-shadow-on-the-land,A Shadow on The Land,Krystine Kercher,4.38,13,4,,2013,,1,,"['Christian Fiction', 'Christian', 'Fantasy']"
855,https://www.goodreads.com//book/show/17727308-cobweb-bride,Cobweb Bride,Vera Nazarian,3.63,"2,240",377,342,2017,,1,,"['Fantasy', 'Romance', 'Fantasy']"
856,https://www.goodreads.com//book/show/7846322-the-westward-journey-of-the-nebraskan-wind,The Westward Journey of the Nebraskan Wind,Gary D. Henry,4.40,5,0,296,2009,,0,,[]
857,https://www.goodreads.com//book/show/202544.Devices_and_Desires,Devices and Desires,K.J. Parker,3.71,"4,088",361,706,2006,,1,,"['Fantasy', 'Fiction', 'Science Fiction']"
